word,Usage Count in Current Curriculum,Usage Count in Draft Curriculum,Percent of total words in Current Curriculum,Percent of total words in Draft Curriculum,Percent change from Current to Draft Curriculum
protected,9,2,0.00010842067220816769,1.4837125455314288e-05,-0.8631522462171513
assess,36,8,0.00043368268883267077,5.934850182125715e-05,-0.8631522462171513
topic,84,19,0.0010119262739428985,0.00014095269182548572,-0.8607085363281718
media,213,49,0.0025659559089266353,0.00036350957365520004,-0.8583336633374735
acknowledge,13,3,0.00015660763763402,2.225568818297143e-05,-0.857888871071657
applications,13,3,0.00015660763763402,2.225568818297143e-05,-0.857888871071657
transformations,13,3,0.00015660763763402,2.225568818297143e-05,-0.857888871071657
learn,155,36,0.0018672449102517768,0.00026706825819565715,-0.856972025078571
learners,17,4,0.0002047946030598723,2.9674250910628575e-05,-0.8551023783475719
teachers,17,4,0.0002047946030598723,2.9674250910628575e-05,-0.8551023783475719
topics,63,15,0.0007589447054571738,0.00011127844091485716,-0.8533774066612334
chance,8,2,9.637393085170462e-05,1.4837125455314288e-05,-0.8460462769942951
edit,8,2,9.637393085170462e-05,1.4837125455314288e-05,-0.8460462769942951
examined,8,2,9.637393085170462e-05,1.4837125455314288e-05,-0.8460462769942951
testing,8,2,9.637393085170462e-05,1.4837125455314288e-05,-0.8460462769942951
textures,8,2,9.637393085170462e-05,1.4837125455314288e-05,-0.8460462769942951
child,12,3,0.00014456089627755693,2.225568818297143e-05,-0.8460462769942951
commitment,12,3,0.00014456089627755693,2.225568818297143e-05,-0.8460462769942951
interrelated,12,3,0.00014456089627755693,2.225568818297143e-05,-0.8460462769942951
rural,12,3,0.00014456089627755693,2.225568818297143e-05,-0.8460462769942951
teaching,12,3,0.00014456089627755693,2.225568818297143e-05,-0.8460462769942951
referents,28,7,0.00033730875798096616,5.1929939093600006e-05,-0.8460462769942951
problem-solving,27,7,0.0003252620166245031,5.1929939093600006e-05,-0.8403442872533431
linear,23,6,0.0002770750511986508,4.451137636594286e-05,-0.8393526368636123
internet,15,4,0.00018070112034694616,2.9674250910628575e-05,-0.8357826954605815
progress,15,4,0.00018070112034694616,2.9674250910628575e-05,-0.8357826954605815
teacher,15,4,0.00018070112034694616,2.9674250910628575e-05,-0.8357826954605815
outcomes,112,30,0.0013492350319238647,0.0002225568818297143,-0.8350495824938876
concepts,48,13,0.0005782435851102277,9.644131545954287e-05,-0.833216800077153
magnets,11,3,0.00013251415492109386,2.225568818297143e-05,-0.8320504839937765
subtracting,11,3,0.00013251415492109386,2.225568818297143e-05,-0.8320504839937765
brush,7,2,8.432718949524154e-05,1.4837125455314288e-05,-0.8240528879934801
dictionaries,7,2,8.432718949524154e-05,1.4837125455314288e-05,-0.8240528879934801
dominant,7,2,8.432718949524154e-05,1.4837125455314288e-05,-0.8240528879934801
geographical,7,2,8.432718949524154e-05,1.4837125455314288e-05,-0.8240528879934801
homes,7,2,8.432718949524154e-05,1.4837125455314288e-05,-0.8240528879934801
improvement,7,2,8.432718949524154e-05,1.4837125455314288e-05,-0.8240528879934801
instrumental,7,2,8.432718949524154e-05,1.4837125455314288e-05,-0.8240528879934801
expected,14,4,0.00016865437899048308,2.9674250910628575e-05,-0.8240528879934801
personally,14,4,0.00016865437899048308,2.9674250910628575e-05,-0.8240528879934801
opportunity,21,6,0.00025298156848572464,4.451137636594286e-05,-0.8240528879934801
career,24,7,0.00028912179255511386,5.1929939093600006e-05,-0.820387323160011
designs,24,7,0.00028912179255511386,5.1929939093600006e-05,-0.820387323160011
heritage,24,7,0.00028912179255511386,5.1929939093600006e-05,-0.820387323160011
construct,74,22,0.0008914588603782677,0.00016320838000845716,-0.8169198969661888
illustrations,10,3,0.00012046741356463077,2.225568818297143e-05,-0.8152555323931541
monitor,10,3,0.00012046741356463077,2.225568818297143e-05,-0.8152555323931541
suitable,10,3,0.00012046741356463077,2.225568818297143e-05,-0.8152555323931541
organizational,20,6,0.00024093482712926153,4.451137636594286e-05,-0.8152555323931541
speak,20,6,0.00024093482712926153,4.451137636594286e-05,-0.8152555323931541
headings,13,4,0.00015660763763402,2.9674250910628575e-05,-0.8105184947622094
integers,16,5,0.00019274786170340923,3.709281363828572e-05,-0.8075578462428689
seek,16,5,0.00019274786170340923,3.709281363828572e-05,-0.8075578462428689
statements,19,6,0.00022888808577279846,4.451137636594286e-05,-0.8055321393612148
locate,25,8,0.00030116853391157694,5.934850182125715e-05,-0.8029392345526978
global,28,9,0.00033730875798096616,6.676706454891429e-05,-0.8020594989926652
andor,37,12,0.00044572943018913384,8.902275273188572e-05,-0.8002762512358423
appropriately,21,7,0.00025298156848572464,5.1929939093600006e-05,-0.7947283693257269
abuse,6,2,7.228044813877847e-05,1.4837125455314288e-05,-0.7947283693257268
avoid,6,2,7.228044813877847e-05,1.4837125455314288e-05,-0.7947283693257268
controversial,6,2,7.228044813877847e-05,1.4837125455314288e-05,-0.7947283693257268
documents,6,2,7.228044813877847e-05,1.4837125455314288e-05,-0.7947283693257268
identification,6,2,7.228044813877847e-05,1.4837125455314288e-05,-0.7947283693257268
interdependent,6,2,7.228044813877847e-05,1.4837125455314288e-05,-0.7947283693257268
multimedia,6,2,7.228044813877847e-05,1.4837125455314288e-05,-0.7947283693257268
offer,6,2,7.228044813877847e-05,1.4837125455314288e-05,-0.7947283693257268
prevention,6,2,7.228044813877847e-05,1.4837125455314288e-05,-0.7947283693257268
textual,6,2,7.228044813877847e-05,1.4837125455314288e-05,-0.7947283693257268
valuable,6,2,7.228044813877847e-05,1.4837125455314288e-05,-0.7947283693257268
dimensions,9,3,0.00010842067220816769,2.225568818297143e-05,-0.7947283693257268
extending,9,3,0.00010842067220816769,2.225568818297143e-05,-0.7947283693257268
involvement,9,3,0.00010842067220816769,2.225568818297143e-05,-0.7947283693257268
normally,9,3,0.00010842067220816769,2.225568818297143e-05,-0.7947283693257268
opinion,9,3,0.00010842067220816769,2.225568818297143e-05,-0.7947283693257268
reports,9,3,0.00010842067220816769,2.225568818297143e-05,-0.7947283693257268
representatives,9,3,0.00010842067220816769,2.225568818297143e-05,-0.7947283693257268
irregular,12,4,0.00014456089627755693,2.9674250910628575e-05,-0.7947283693257268
official,12,4,0.00014456089627755693,2.9674250910628575e-05,-0.7947283693257268
photographs,12,4,0.00014456089627755693,2.9674250910628575e-05,-0.7947283693257268
visualization,12,4,0.00014456089627755693,2.9674250910628575e-05,-0.7947283693257268
estimation,15,5,0.00018070112034694616,3.709281363828572e-05,-0.7947283693257268
reasoning,15,5,0.00018070112034694616,3.709281363828572e-05,-0.7947283693257268
special,18,6,0.00021684134441633538,4.451137636594286e-05,-0.7947283693257268
distinguish,33,11,0.00039754246476328154,8.160419000422858e-05,-0.7947283693257268
drawing,36,12,0.00043368268883267077,8.902275273188572e-05,-0.7947283693257268
symbolically,36,12,0.00043368268883267077,8.902275273188572e-05,-0.7947283693257268
diversity,48,16,0.0005782435851102277,0.0001186970036425143,-0.7947283693257268
decimals,29,10,0.00034935549933742924,7.418562727657143e-05,-0.7876500372335105
technology,55,19,0.0006625707746054692,0.00014095269182548572,-0.7872639463921168
analysis,20,7,0.00024093482712926153,5.1929939093600006e-05,-0.7844647877920131
outcome,57,20,0.0006866642573183953,0.00014837125455314287,-0.7839245992902387
oral,264,93,0.0031803397181062523,0.0006899263336721143,-0.7830652084919614
selecting,17,6,0.0002047946030598723,4.451137636594286e-05,-0.7826535675213578
level,42,15,0.0005059631369714493,0.00011127844091485716,-0.7800661099918502
presence,14,5,0.00016865437899048308,3.709281363828572e-05,-0.7800661099918501
english,111,40,0.0013371882905674015,0.00029674250910628573,-0.7780847235953803
celebrate,11,4,0.00013251415492109386,2.9674250910628575e-05,-0.776067311991702
contributing,11,4,0.00013251415492109386,2.9674250910628575e-05,-0.776067311991702
develops,11,4,0.00013251415492109386,2.9674250910628575e-05,-0.776067311991702
involved,11,4,0.00013251415492109386,2.9674250910628575e-05,-0.776067311991702
sculpture,11,4,0.00013251415492109386,2.9674250910628575e-05,-0.776067311991702
sight,11,4,0.00013251415492109386,2.9674250910628575e-05,-0.776067311991702
school,77,28,0.0009275990844476569,0.00020771975637440002,-0.776067311991702
pictures,41,15,0.0004939163956149861,0.00011127844091485716,-0.7747018687721392
charts,30,11,0.0003614022406938923,8.160419000422858e-05,-0.7742012062582995
education,43,16,0.0005180098783279123,0.0001186970036425143,-0.7708595750612764
done,8,3,9.637393085170462e-05,2.225568818297143e-05,-0.7690694154914427
explaining,8,3,9.637393085170462e-05,2.225568818297143e-05,-0.7690694154914427
technological,8,3,9.637393085170462e-05,2.225568818297143e-05,-0.7690694154914427
television,8,3,9.637393085170462e-05,2.225568818297143e-05,-0.7690694154914427
